item_id,category,daily_demand,demand_std_dev,lead_time_days,reorder_frequency_days,ADI,CV2,intermittency_class
ITM12332,Pharma,37.17,4.13,5,8,8.0,0.012345679012345678,Intermittent
ITM10532,Apparel,13.55,5.97,6,12,12.0,0.19411990577470348,Intermittent
ITM11510,Groceries,42.47,9.97,7,7,7.0,0.055109414204982665,Intermittent
ITM12937,Automotive,47.09,5.24,4,13,13.0,0.012382410371540408,Intermittent
ITM13202,Groceries,43.39,8.47,9,3,3.0,0.03810548734973712,Intermittent
ITM10926,Apparel,13.55,7.4,3,11,11.0,0.29825301943056337,Intermittent
ITM11988,Electronics,32.77,6.7,4,13,13.0,0.04180196743953591,Intermittent
ITM12601,Groceries,43.46,1.86,8,9,9.0,0.0018316666769025963,Intermittent
ITM12689,Electronics,47.33,8.33,9,10,10.0,0.03097540503138011,Intermittent
ITM11317,Apparel,35.33,6.36,6,9,9.0,0.03240611407273254,Intermittent
ITM12991,Automotive,48.5,8.51,8,6,6.0,0.03078758635349134,Intermittent
ITM10477,Electronics,25.43,7.94,9,4,4.0,0.09748735435140053,Intermittent
ITM11263,Electronics,23.65,9.54,9,10,10.0,0.16271757349293114,Intermittent
ITM11308,Pharma,26.75,4.32,4,6,6.0,0.026080740676041582,Intermittent
ITM11646,Apparel,16.85,5.23,7,10,10.0,0.09633931794767939,Intermittent
ITM10344,Apparel,20.45,8.97,2,4,4.0,0.192396984714343,Intermittent
ITM12328,Apparel,39.09,6.81,3,6,6.0,0.0303502926418696,Intermittent
ITM12198,Pharma,23.29,2.04,5,10,10.0,0.00767222547818211,Intermittent
ITM12802,Pharma,44.25,9.8,3,7,7.0,0.049048485428835914,Intermittent
ITM11323,Automotive,35.46,1.74,5,7,7.0,0.0024078034591059915,Intermittent
ITM11280,Electronics,17.53,9.79,6,9,9.0,0.3118900725640569,Intermittent
ITM11244,Electronics,19.03,5.58,2,12,12.0,0.08597868951007742,Intermittent
ITM11819,Apparel,18.16,8.83,7,4,4.0,0.23642299724427018,Intermittent
ITM13157,Apparel,15.47,2.09,7,14,14.0,0.018252062398227648,Intermittent
ITM10981,Pharma,27.75,8.59,6,13,13.0,0.09582092362632903,Intermittent
ITM13044,Electronics,17.13,9.25,4,8,8.0,0.29158739067922274,Intermittent
ITM12653,Pharma,4.62,1.91,8,5,5.0,0.1709160248121287,Intermittent
ITM10999,Groceries,4.39,6.89,9,9,9.0,2.4632551719843714,Lumpy
ITM12244,Apparel,45.86,0.96,2,4,4.0,0.00043820200998545225,Intermittent
ITM10133,Automotive,15.47,4.06,9,13,13.0,0.06887655862902067,Intermittent
ITM10194,Pharma,23.63,8.91,9,14,14.0,0.1421765477762422,Intermittent
ITM12882,Apparel,11.07,8.78,5,9,9.0,0.6290624905646828,Lumpy
ITM12454,Groceries,46.61,7.19,4,5,5.0,0.02379575971760726,Intermittent
ITM11814,Apparel,43.25,3.82,5,7,7.0,0.007801075879581676,Intermittent
ITM10363,Automotive,26.9,1.79,8,11,11.0,0.004427937701247911,Intermittent
ITM11764,Pharma,30.91,3.94,5,8,8.0,0.01624779509834387,Intermittent
ITM12035,Electronics,1.61,9.92,9,13,13.0,37.963967439527785,Lumpy
ITM13140,Pharma,14.97,6.18,2,13,13.0,0.17042501837342017,Intermittent
ITM12776,Groceries,19.86,6.52,5,14,14.0,0.1077796336693207,Intermittent
ITM10546,Automotive,17.81,5.14,8,10,10.0,0.08329106190145466,Intermittent
ITM11330,Automotive,42.92,4.18,4,5,5.0,0.009484908310309216,Intermittent
ITM13051,Groceries,32.94,0.67,6,6,6.0,0.00041371609398921865,Intermittent
ITM11771,Electronics,26.64,6.87,7,8,8.0,0.06650358128398667,Intermittent
ITM13084,Automotive,44.9,4.26,3,12,12.0,0.009001741062792348,Intermittent
ITM11460,Apparel,38.66,8.9,8,11,11.0,0.05299761353505926,Intermittent
ITM10087,Electronics,17.58,6.32,8,9,9.0,0.12923984101283784,Intermittent
ITM12368,Automotive,42.91,2.9,7,5,5.0,0.004567504319441586,Intermittent
ITM13129,Pharma,47.62,2.94,5,5,5.0,0.003811675131470071,Intermittent
ITM10487,Groceries,47.47,3.71,6,14,14.0,0.006108145248366592,Intermittent
ITM10239,Automotive,47.12,2.11,2,14,14.0,0.002005184537690137,Intermittent
ITM10510,Groceries,22.23,3.87,7,9,9.0,0.030307003884672754,Intermittent
ITM12331,Groceries,5.92,7.25,5,6,6.0,1.4997974114317023,Lumpy
ITM10558,Electronics,38.83,8.42,9,11,11.0,0.04702073374772487,Intermittent
ITM10488,Pharma,12.02,7.57,2,10,10.0,0.39662750103128175,Intermittent
ITM11464,Automotive,2.88,4.48,7,12,12.0,2.419753086419754,Lumpy
ITM10269,Pharma,19.72,3.52,7,12,12.0,0.03186188793206308,Intermittent
ITM12720,Apparel,31.18,2.18,6,6,6.0,0.004888332803259931,Intermittent
ITM11259,Electronics,17.61,2.85,2,13,13.0,0.026192141486901032,Intermittent
ITM12846,Automotive,43.47,3.3,9,6,6.0,0.005762999731853813,Intermittent
ITM11602,Apparel,24.09,1.7,3,5,5.0,0.00497994151928883,Intermittent
ITM10011,Groceries,44.27,4.34,7,3,3.0,0.009610819371386201,Intermittent
ITM10842,Electronics,32.67,8.53,3,8,8.0,0.06817102019817882,Intermittent
ITM12169,Apparel,23.59,2.39,2,5,5.0,0.010264550131440366,Intermittent
ITM11881,Pharma,47.38,3.01,8,8,8.0,0.004035923060653462,Intermittent
ITM11727,Apparel,26.77,3.27,8,5,5.0,0.014921028604743099,Intermittent
ITM11750,Electronics,47.93,9.78,7,12,12.0,0.04163541056662149,Intermittent
ITM12174,Apparel,28.43,3.93,9,7,7.0,0.01910871052299809,Intermittent
ITM11849,Apparel,39.99,4.93,3,9,9.0,0.015198160630430174,Intermittent
ITM13053,Automotive,9.99,4.99,2,12,12.0,0.24949975000025051,Intermittent
ITM10022,Pharma,19.03,9.34,2,13,13.0,0.24088856022614397,Intermittent
ITM11413,Automotive,44.37,6.07,5,3,3.0,0.018715374621659644,Intermittent
ITM10002,Groceries,37.69,3.15,8,11,11.0,0.00698503895817924,Intermittent
ITM12421,Apparel,37.85,1.03,8,4,4.0,0.0007405300419335868,Intermittent
ITM10139,Automotive,27.28,8.8,4,13,13.0,0.1040582726326743,Intermittent
ITM11513,Automotive,29.78,8.07,6,10,10.0,0.07343408411178279,Intermittent
ITM11622,Apparel,5.7,1.72,5,9,9.0,0.09105570944906125,Intermittent
ITM12985,Groceries,34.55,7.62,4,7,7.0,0.04864227058249439,Intermittent
ITM12325,Groceries,26.99,6.04,3,9,9.0,0.05008043680086254,Intermittent
ITM12946,Pharma,28.95,7.94,6,7,7.0,0.07522182549270526,Intermittent
ITM12564,Electronics,27.6,7.42,3,5,5.0,0.07227525729888679,Intermittent
ITM12535,Automotive,9.75,8.29,6,13,13.0,0.722935963182117,Lumpy
ITM12168,Groceries,21.57,8.45,8,12,12.0,0.15346633713396385,Intermittent
ITM10320,Apparel,11.32,4.2,6,5,5.0,0.13765935396870982,Intermittent
ITM12324,Apparel,19.9,3.46,8,3,3.0,0.030230549733592592,Intermittent
ITM13152,Groceries,14.52,1.86,2,7,7.0,0.016409398265145828,Intermittent
ITM10513,Pharma,33.91,2.51,7,6,6.0,0.0054788809450241295,Intermittent
ITM11156,Electronics,21.89,0.67,7,4,4.0,0.0009368241598373529,Intermittent
ITM10495,Electronics,33.73,1.45,8,13,13.0,0.0018480057666569486,Intermittent
ITM11631,Apparel,36.37,4.47,4,3,3.0,0.015105268318489688,Intermittent
ITM12551,Automotive,4.82,8.31,5,5,5.0,2.9724049172707083,Lumpy
ITM11143,Apparel,35.04,0.93,9,10,10.0,0.0007044297710639896,Intermittent
ITM13196,Pharma,43.94,5.74,2,5,5.0,0.017064897326577462,Intermittent
ITM12234,Pharma,49.45,9.35,5,8,8.0,0.035751200516091555,Intermittent
ITM11844,Automotive,26.38,3.13,5,10,10.0,0.01407793944110714,Intermittent
ITM11807,Groceries,22.59,4.23,2,12,12.0,0.03506293550896018,Intermittent
ITM11949,Automotive,18.42,8.74,3,11,11.0,0.22513530942267584,Intermittent
ITM10360,Pharma,21.56,7.41,7,11,11.0,0.1181242061675404,Intermittent
ITM11440,Automotive,37.91,5.93,8,14,14.0,0.024468188516012845,Intermittent
ITM11200,Apparel,21.47,9.36,5,13,13.0,0.1900586362097089,Intermittent
ITM12970,Groceries,16.46,1.98,7,12,12.0,0.014470072889245846,Intermittent
ITM13055,Apparel,47.01,4.25,4,5,5.0,0.008173298452749918,Intermittent
ITM10341,Pharma,6.38,5.61,6,7,7.0,0.7731866825208087,Lumpy
ITM11623,Electronics,20.7,5.01,8,13,13.0,0.05857802982566688,Intermittent
ITM11520,Pharma,15.24,7.56,7,4,4.0,0.24607849215698427,Intermittent
ITM11277,Automotive,25.03,0.87,2,10,10.0,0.0012081387273346295,Intermittent
ITM12794,Groceries,14.32,5.74,8,8,8.0,0.16067109328672638,Intermittent
ITM11086,Apparel,28.34,7.77,5,3,3.0,0.07516961844006316,Intermittent
ITM12312,Electronics,5.4,8.77,5,12,12.0,2.63761659807956,Lumpy
ITM10736,Electronics,10.48,4.4,6,12,12.0,0.17627177903385585,Intermittent
ITM11952,Automotive,16.81,5.66,9,6,6.0,0.11336981436151185,Intermittent
ITM13061,Apparel,3.71,5.5,6,9,9.0,2.1977463110555724,Lumpy
ITM12942,Pharma,43.67,1.11,6,14,14.0,0.0006460699977856072,Intermittent
ITM10029,Pharma,21.45,2.46,4,5,5.0,0.013152721404469657,Intermittent
ITM12283,Electronics,39.43,7.57,9,6,6.0,0.03685854648626262,Intermittent
ITM12877,Pharma,13.94,0.82,7,8,8.0,0.0034602076124567475,Intermittent
ITM10049,Pharma,15.21,9.85,2,8,8.0,0.4193861006180835,Intermittent
ITM10838,Groceries,47.55,4.02,9,10,10.0,0.007147448974514623,Intermittent
ITM12439,Pharma,42.03,5.73,5,3,3.0,0.01858619391369782,Intermittent
ITM13059,Apparel,13.14,9.86,9,3,3.0,0.5630709210492784,Lumpy
ITM11412,Pharma,43.37,4.26,8,9,9.0,0.009648067959451915,Intermittent
ITM11043,Electronics,1.94,4.92,8,13,13.0,6.431714316080348,Lumpy
ITM12129,Apparel,7.02,9.97,2,4,4.0,2.0170473453949245,Lumpy
ITM10503,Groceries,18.68,1.76,5,4,4.0,0.0088771098037957,Intermittent
ITM11922,Groceries,33.27,8.62,4,4,4.0,0.06712880713210823,Intermittent
ITM10454,Pharma,42.97,9.21,7,3,3.0,0.04593974212488605,Intermittent
ITM11443,Groceries,1.92,2.68,3,8,8.0,1.9483506944444449,Lumpy
ITM12857,Electronics,40.62,6.4,2,10,10.0,0.024824477128389824,Intermittent
ITM12670,Pharma,2.53,1.94,3,11,11.0,0.5879798153384681,Lumpy
ITM10645,Apparel,6.23,7.68,8,3,3.0,1.5196597007695893,Lumpy
ITM11667,Automotive,17.04,6.65,8,12,12.0,0.15230147512618752,Intermittent
ITM11100,Automotive,16.36,8.85,4,13,13.0,0.2926307380993657,Intermittent
ITM11961,Groceries,5.66,3.59,3,11,11.0,0.40230556006442825,Intermittent
ITM12523,Automotive,38.49,8.06,2,7,7.0,0.043850470890564104,Intermittent
ITM10633,Groceries,13.44,4.94,5,3,3.0,0.1351000035430839,Intermittent
ITM10369,Automotive,20.23,6.21,7,9,9.0,0.09423048682122963,Intermittent
ITM13112,Automotive,28.13,9.88,5,7,7.0,0.12336001821819349,Intermittent
ITM13132,Automotive,35.29,5.93,2,8,8.0,0.028236188337397276,Intermittent
ITM11355,Pharma,42.97,8.92,5,12,12.0,0.04309223319558395,Intermittent
ITM12235,Apparel,39.36,7.01,2,13,13.0,0.03171946520341728,Intermittent
ITM12734,Pharma,16.75,9.54,7,10,10.0,0.32438975272889276,Intermittent
ITM12432,Pharma,22.39,4.72,5,8,8.0,0.04444018007943554,Intermittent
ITM11826,Automotive,42.63,5.65,7,12,12.0,0.017565731106115836,Intermittent
ITM10711,Automotive,34.76,6.63,5,12,12.0,0.03638040431113365,Intermittent
ITM12525,Apparel,30.05,8.64,6,12,12.0,0.08266820966719361,Intermittent
ITM10181,Groceries,2.0,5.62,2,13,13.0,7.896100000000001,Lumpy
ITM11888,Pharma,14.56,3.16,2,6,6.0,0.047103308779132956,Intermittent
ITM11604,Automotive,42.63,5.91,4,10,10.0,0.01921959785879942,Intermittent
ITM11512,Apparel,36.91,0.92,9,6,6.0,0.0006212802733750649,Intermittent
ITM10021,Automotive,14.68,6.83,3,11,11.0,0.2164658027010372,Intermittent
ITM12621,Apparel,43.17,4.58,7,14,14.0,0.011255553554105603,Intermittent
ITM10502,Automotive,16.56,8.5,4,11,11.0,0.26346151602137746,Intermittent
ITM10806,Groceries,38.7,0.88,6,12,12.0,0.0005170629435998103,Intermittent
ITM11662,Apparel,13.8,0.83,5,9,9.0,0.003617412308338584,Intermittent
ITM10764,Apparel,23.6,5.38,8,12,12.0,0.05196854352197644,Intermittent
ITM11177,Electronics,24.02,9.87,6,12,12.0,0.16884503685174926,Intermittent
ITM12380,Apparel,36.22,2.23,6,13,13.0,0.003790642557705366,Intermittent
ITM12901,Apparel,29.07,5.76,5,14,14.0,0.039260416566822255,Intermittent
ITM12435,Automotive,39.15,6.39,3,7,7.0,0.026640243096842386,Intermittent
ITM12172,Apparel,28.81,9.72,4,11,11.0,0.11382718961716529,Intermittent
ITM13176,Electronics,27.63,7.76,6,8,8.0,0.0788790502279947,Intermittent
ITM10875,Pharma,9.75,0.88,7,7,7.0,0.00814621959237344,Intermittent
ITM12765,Automotive,9.57,6.18,5,4,4.0,0.4170163422136181,Intermittent
ITM11114,Groceries,32.07,2.27,9,12,12.0,0.005010185370733201,Intermittent
ITM13048,Apparel,41.78,8.18,4,14,14.0,0.03833272875471393,Intermittent
ITM11694,Apparel,22.12,5.84,6,7,7.0,0.06970363854562815,Intermittent
ITM10015,Apparel,39.34,7.18,5,5,5.0,0.03331042527065156,Intermittent
ITM10105,Automotive,41.44,9.13,9,8,8.0,0.04854025590331093,Intermittent
ITM12233,Apparel,18.66,2.13,7,9,9.0,0.013029745350027398,Intermittent
ITM12386,Pharma,43.25,8.8,2,12,12.0,0.041399311704367,Intermittent
ITM10596,Automotive,41.84,6.47,5,11,11.0,0.023912512475825227,Intermittent
ITM11239,Electronics,20.76,6.29,9,12,12.0,0.09180082677150737,Intermittent
ITM12661,Apparel,40.06,8.57,9,12,12.0,0.04576566253964036,Intermittent
ITM11270,Electronics,35.89,2.01,3,5,5.0,0.0031364993233014933,Intermittent
ITM12498,Groceries,11.11,9.59,2,5,5.0,0.7450906206732285,Lumpy
ITM12367,Pharma,12.99,4.39,2,6,6.0,0.11421173745896794,Intermittent
ITM12923,Electronics,25.54,3.03,3,4,4.0,0.014074840148179127,Intermittent
ITM13088,Electronics,31.78,2.06,6,12,12.0,0.0042017156180331975,Intermittent
ITM10431,Electronics,37.74,7.7,8,3,3.0,0.041627244002629765,Intermittent
ITM12532,Automotive,20.43,8.41,5,5,5.0,0.1694553396637013,Intermittent
ITM10424,Groceries,19.08,0.96,7,3,3.0,0.002531545429373838,Intermittent
ITM11663,Pharma,37.82,1.07,8,4,4.0,0.0008004321172880194,Intermittent
ITM11334,Pharma,11.66,2.58,4,10,10.0,0.048960101680254435,Intermittent
ITM12379,Apparel,20.67,1.39,6,7,7.0,0.004522188354376101,Intermittent
ITM12584,Pharma,42.8,6.31,3,10,10.0,0.021735577342999385,Intermittent
ITM10055,Electronics,45.94,0.92,4,3,3.0,0.00040104552340515715,Intermittent
ITM11776,Automotive,20.81,5.24,3,8,8.0,0.06340425640003687,Intermittent
ITM11752,Pharma,47.95,9.8,6,3,3.0,0.041771005381213706,Intermittent
ITM11141,Automotive,13.58,1.04,2,14,14.0,0.005864988146390452,Intermittent
ITM12632,Groceries,20.71,9.33,2,7,7.0,0.20295655835418683,Intermittent
ITM12096,Electronics,43.36,9.16,9,7,7.0,0.044628511322013585,Intermittent
ITM11681,Electronics,7.72,7.63,7,4,4.0,0.976819847512685,Lumpy
ITM11778,Electronics,1.85,8.46,5,4,4.0,20.912081811541274,Lumpy
ITM12136,Pharma,42.8,3.1,7,10,10.0,0.005246091361690979,Intermittent
ITM11000,Pharma,8.22,9.87,6,5,5.0,1.4417523576109539,Lumpy
ITM12059,Automotive,48.69,6.82,3,11,11.0,0.01961955714562364,Intermittent
ITM12700,Electronics,9.41,7.02,8,3,3.0,0.5565381978834102,Lumpy
ITM12292,Groceries,16.23,2.71,6,13,13.0,0.027880563176670536,Intermittent
ITM11314,Automotive,38.19,9.14,6,9,9.0,0.0572786897227867,Intermittent
ITM11886,Electronics,1.07,5.0,4,14,14.0,21.83596820683029,Lumpy
ITM10986,Automotive,16.87,6.87,9,4,4.0,0.16583771643331321,Intermittent
ITM11665,Automotive,9.5,1.24,6,13,13.0,0.017037119113573407,Intermittent
ITM11379,Apparel,19.65,3.25,9,6,6.0,0.02735530822472143,Intermittent
ITM10153,Electronics,49.51,3.01,3,3,3.0,0.0036961291551978115,Intermittent
ITM11471,Apparel,22.04,3.66,6,3,3.0,0.02757649019601385,Intermittent
ITM10769,Electronics,38.61,9.58,5,13,13.0,0.06156465001323846,Intermittent
ITM10600,Groceries,22.36,2.88,9,13,13.0,0.016589808660366554,Intermittent
ITM11855,Automotive,12.26,3.71,3,11,11.0,0.09157288121159544,Intermittent
ITM12315,Apparel,14.48,6.66,2,13,13.0,0.21154917432312811,Intermittent
ITM11885,Electronics,19.47,1.9,8,5,5.0,0.009523033210061493,Intermittent
ITM11592,Electronics,23.93,2.21,4,14,14.0,0.00852902034052866,Intermittent
ITM12459,Apparel,1.28,3.18,9,8,8.0,6.172119140625,Lumpy
ITM11485,Electronics,33.45,2.88,8,12,12.0,0.007412978342616982,Intermittent
ITM10234,Electronics,17.18,9.04,9,6,6.0,0.27687933420158534,Intermittent
ITM12713,Apparel,46.11,1.91,5,14,14.0,0.001715838822996934,Intermittent
ITM13060,Groceries,19.83,4.0,6,3,3.0,0.04068876931476808,Intermittent
ITM12896,Electronics,31.71,1.66,3,3,3.0,0.0027404614170858754,Intermittent
ITM10067,Apparel,1.39,7.19,3,7,7.0,26.75643082656178,Lumpy
ITM12726,Electronics,41.16,5.68,2,5,5.0,0.019043463560629026,Intermittent
ITM12827,Apparel,40.31,8.54,5,12,12.0,0.04488385441998413,Intermittent
ITM13027,Pharma,23.75,2.54,5,13,13.0,0.011437739612188367,Intermittent
ITM12788,Groceries,25.83,9.36,7,8,8.0,0.13131153710740692,Intermittent
ITM10783,Groceries,3.38,3.91,3,5,5.0,1.338197191975071,Lumpy
ITM10180,Electronics,23.59,5.43,2,9,9.0,0.052983882314823975,Intermittent
ITM13145,Electronics,38.77,4.78,2,7,7.0,0.015200721116823628,Intermittent
ITM12952,Pharma,36.6,7.39,5,12,12.0,0.04076868523992953,Intermittent
ITM10221,Electronics,4.23,3.03,9,12,12.0,0.5131029626276343,Lumpy
ITM10484,Electronics,13.77,7.01,2,10,10.0,0.25916010988703825,Intermittent
ITM11054,Automotive,25.64,3.68,7,4,4.0,0.02059963833810763,Intermittent
ITM12663,Electronics,11.12,2.0,4,4,4.0,0.0323482221417111,Intermittent
ITM11981,Pharma,12.86,9.72,6,7,7.0,0.5712820686469191,Lumpy
ITM12667,Pharma,29.18,2.27,9,9,9.0,0.006051752235304397,Intermittent
ITM11031,Apparel,15.57,2.6,7,8,8.0,0.02788492436214267,Intermittent
ITM12839,Automotive,46.69,9.84,2,7,7.0,0.04441630728251821,Intermittent
ITM11230,Groceries,1.17,9.89,9,7,7.0,71.45306450434656,Lumpy
ITM10757,Apparel,26.97,9.5,7,14,14.0,0.12407529535075779,Intermittent
ITM11268,Electronics,43.39,8.79,2,9,9.0,0.0410391587663219,Intermittent
ITM11495,Pharma,10.57,3.66,4,4,4.0,0.11989807106562636,Intermittent
ITM13148,Apparel,34.61,0.71,5,11,11.0,0.00042083659577004534,Intermittent
ITM13056,Groceries,39.24,4.53,9,5,5.0,0.013327184393382523,Intermittent
ITM12101,Pharma,5.49,5.29,5,3,3.0,0.928467390619142,Lumpy
ITM11965,Electronics,26.02,2.41,3,13,13.0,0.00857866088936495,Intermittent
ITM12559,Apparel,26.62,7.49,6,7,7.0,0.07916760980852479,Intermittent
ITM13123,Apparel,23.51,2.28,5,4,4.0,0.009405122050021338,Intermittent
ITM11342,Groceries,39.77,5.11,4,7,7.0,0.016509374465156042,Intermittent
ITM10632,Pharma,15.4,1.18,8,5,5.0,0.005871141845167819,Intermittent
ITM11578,Groceries,14.38,6.01,6,7,7.0,0.17467516891989915,Intermittent
ITM11074,Automotive,1.92,4.32,7,4,4.0,5.062500000000002,Lumpy
ITM11245,Groceries,17.5,5.78,8,10,10.0,0.10908865306122449,Intermittent
ITM11422,Automotive,28.29,5.68,6,12,12.0,0.04031166873520365,Intermittent
ITM11045,Groceries,32.15,7.33,8,12,12.0,0.05198116333574396,Intermittent
ITM10543,Pharma,41.01,4.9,9,7,7.0,0.014276199933631429,Intermittent
ITM12645,Pharma,20.62,2.01,5,11,11.0,0.009501994899154341,Intermittent
ITM10031,Pharma,45.72,1.68,3,13,13.0,0.0013502249226720676,Intermittent
ITM10847,Groceries,45.21,7.53,4,11,11.0,0.027740925008663396,Intermittent
ITM12958,Groceries,36.97,8.8,4,4,4.0,0.05665867879775025,Intermittent
ITM10913,Electronics,31.51,9.84,2,12,12.0,0.09751993216502171,Intermittent
ITM11235,Automotive,19.53,4.28,6,12,12.0,0.04802673372119882,Intermittent
ITM13057,Groceries,46.14,2.8,8,11,11.0,0.0036826537052287475,Intermittent
ITM12091,Apparel,47.62,1.45,7,7,7.0,0.0009271654130126133,Intermittent
ITM10851,Automotive,37.38,7.96,7,3,3.0,0.04534689354427122,Intermittent
ITM11730,Pharma,46.45,8.16,7,9,9.0,0.03086092086007501,Intermittent
ITM10206,Automotive,41.96,4.76,5,8,8.0,0.012868945048214241,Intermittent
ITM10138,Apparel,32.49,6.09,6,12,12.0,0.03513461205621333,Intermittent
ITM12397,Electronics,44.28,4.13,3,6,6.0,0.008699311436053235,Intermittent
ITM11641,Groceries,16.59,6.6,6,5,5.0,0.15826872328806543,Intermittent
ITM10352,Electronics,15.91,1.48,7,14,14.0,0.00865332612222823,Intermittent
ITM11019,Pharma,18.04,3.18,6,9,9.0,0.031072856082320154,Intermittent
ITM10151,Electronics,49.97,5.98,4,7,7.0,0.014321340452860872,Intermittent
ITM10025,Groceries,1.18,2.39,9,12,12.0,4.102341281241024,Lumpy
ITM12740,Automotive,40.77,3.75,4,6,6.0,0.008460209401688575,Intermittent
ITM10292,Electronics,10.41,1.52,7,13,13.0,0.02131992717414073,Intermittent
ITM13011,Pharma,41.37,6.68,9,7,7.0,0.026072452394770854,Intermittent
ITM12401,Pharma,22.58,5.19,3,6,6.0,0.05283075783691252,Intermittent
ITM11026,Electronics,47.31,8.51,8,4,4.0,0.03235588059722565,Intermittent
ITM10915,Automotive,28.88,6.64,3,11,11.0,0.05286177975920995,Intermittent
ITM10975,Pharma,28.94,10.0,2,14,14.0,0.1193996205002462,Intermittent
ITM11187,Groceries,32.61,2.49,8,10,10.0,0.0058303831600185875,Intermittent
ITM12583,Apparel,7.85,2.94,4,7,7.0,0.14026694794920688,Intermittent
ITM10675,Automotive,46.36,7.15,4,11,11.0,0.023786208916823808,Intermittent
ITM10623,Pharma,25.24,6.59,2,11,11.0,0.06816981698358203,Intermittent
ITM10247,Electronics,35.99,5.81,5,7,7.0,0.026060849695753056,Intermittent
ITM11233,Apparel,20.45,9.59,2,6,6.0,0.21991284126708954,Intermittent
ITM10315,Apparel,17.4,6.15,8,8,8.0,0.12492568370986923,Intermittent
ITM10828,Apparel,44.99,5.49,3,3,3.0,0.014890617316801672,Intermittent
ITM11356,Groceries,35.03,6.82,4,13,13.0,0.03790429947529172,Intermittent
ITM10671,Electronics,27.8,8.48,6,6,6.0,0.09304694373997204,Intermittent
ITM11133,Pharma,34.1,1.13,3,7,7.0,0.0010981157712781967,Intermittent
ITM10988,Groceries,44.2,5.67,7,11,11.0,0.016455897708892116,Intermittent
ITM12070,Automotive,45.51,7.85,3,3,3.0,0.029752649251982014,Intermittent
ITM11119,Apparel,44.27,3.28,5,12,12.0,0.005489447595251613,Intermittent
ITM10405,Automotive,20.0,4.68,3,12,12.0,0.05475599999999999,Intermittent
ITM11203,Electronics,27.57,6.92,6,13,13.0,0.06299972543263437,Intermittent
ITM13036,Groceries,7.18,0.85,6,14,14.0,0.01401486642716925,Intermittent
ITM12311,Electronics,20.15,6.34,6,12,12.0,0.09899845451914611,Intermittent
ITM12698,Pharma,15.37,8.02,5,10,10.0,0.27227075871720297,Intermittent
ITM10314,Apparel,1.88,9.79,9,11,11.0,27.117502263467628,Lumpy
ITM13005,Pharma,36.26,1.21,8,6,6.0,0.001113563894274634,Intermittent
ITM12455,Automotive,28.94,7.55,3,9,9.0,0.06806076867565285,Intermittent
ITM10746,Groceries,23.83,5.97,4,6,6.0,0.06276254959551406,Intermittent
ITM13167,Groceries,23.32,5.91,2,11,11.0,0.06422703441417639,Intermittent
ITM12549,Groceries,5.92,8.78,5,8,8.0,2.199609660336012,Lumpy
ITM10381,Automotive,36.78,5.25,8,14,14.0,0.020374884570041704,Intermittent
ITM12867,Pharma,19.24,5.31,8,10,10.0,0.07616911450071535,Intermittent
ITM11693,Automotive,42.24,7.79,5,6,6.0,0.034011602620666895,Intermittent
ITM12887,Electronics,3.87,4.1,8,3,3.0,1.122395155205683,Lumpy
ITM11682,Groceries,29.87,4.09,5,10,10.0,0.018748916322925514,Intermittent
ITM11918,Automotive,46.28,8.05,3,9,9.0,0.030255550558809668,Intermittent
ITM12534,Electronics,49.8,0.86,9,12,12.0,0.0002982209964355414,Intermittent
ITM10142,Pharma,37.54,6.29,4,6,6.0,0.028074546802004694,Intermittent
ITM12837,Automotive,33.09,2.32,2,8,8.0,0.004915666779092085,Intermittent
ITM10965,Apparel,16.55,1.87,3,5,5.0,0.01276695174377744,Intermittent
ITM12166,Groceries,41.49,0.85,2,10,10.0,0.0004197116090372128,Intermittent
ITM12344,Apparel,5.73,2.23,2,12,12.0,0.1514608822248415,Intermittent
ITM13177,Pharma,26.76,8.44,2,5,5.0,0.09947470847549272,Intermittent
ITM11900,Automotive,42.49,9.07,5,14,14.0,0.04556602162589888,Intermittent
ITM10076,Electronics,32.99,6.05,5,7,7.0,0.03363149074448326,Intermittent
ITM12408,Apparel,11.49,5.12,7,5,5.0,0.19856370355726136,Intermittent
ITM13188,Automotive,15.72,7.96,3,4,4.0,0.2564017895875014,Intermittent
ITM11979,Groceries,49.52,8.0,5,5,5.0,0.02609868958479595,Intermittent
ITM13002,Electronics,22.92,1.93,3,9,9.0,0.007090639267320277,Intermittent
ITM11360,Automotive,41.3,6.99,3,5,5.0,0.028645357597218726,Intermittent
ITM12845,Electronics,9.37,0.72,3,5,5.0,0.005904536492746327,Intermittent
ITM11653,Pharma,22.56,3.51,7,13,13.0,0.02420672532820281,Intermittent
ITM11769,Pharma,6.3,6.3,6,9,9.0,1.0,Lumpy
ITM11152,Groceries,7.4,8.71,7,3,3.0,1.385392622352082,Lumpy
ITM10423,Apparel,4.19,7.07,5,14,14.0,2.847152841462511,Lumpy
ITM13020,Apparel,32.77,9.1,2,6,6.0,0.0771134088587206,Intermittent
ITM11742,Groceries,40.52,9.09,4,5,5.0,0.050325592080836576,Intermittent
ITM10938,Electronics,46.66,5.18,6,4,4.0,0.012324521040204936,Intermittent
ITM12754,Groceries,13.76,8.85,3,5,5.0,0.4136658540089237,Intermittent
ITM11524,Groceries,29.32,9.6,7,11,11.0,0.10720487484389218,Intermittent
ITM13119,Automotive,21.12,4.44,2,5,5.0,0.04419550619834711,Intermittent
