SKU,category,forecast_14d_total,mu_demand,sigma_demand,mu_lead,sigma_lead,safety_stock,ROP,EOQ,current_stock,annual_cost_dynamic,annual_cost_static,cost_saving_pct,action
ITM10733,Apparel,318.08,22.72,0.163,4.0,1.5,56.06,146.95,70.28,258,25359.55,40121.11,36.79,Hold
ITM10734,Electronics,585.52,41.823,0.311,7.0,1.5,103.21,395.97,46.31,188,114052.53,248573.51,54.12,Reorder Now
ITM10735,Apparel,382.02,27.287,0.192,3.0,1.5,67.33,149.19,59.92,472,40279.55,67995.86,40.76,Hold
ITM10736,Electronics,158.56,11.326,0.397,6.0,1.5,27.99,95.95,24.74,416,37676.29,65610.22,42.58,Hold
ITM10737,Pharma,624.87,44.634,0.365,7.0,1.5,110.15,422.58,49.39,362,114704.6,242064.81,52.61,Reorder Now
ITM10738,Pharma,77.4,5.528,0.37,5.0,1.5,13.71,41.35,26.45,333,12589.92,12207.32,-3.13,Hold
ITM10739,Automotive,631.71,45.122,0.197,5.0,1.5,111.34,336.95,88.2,325,50478.04,85113.5,40.69,Reorder Now
ITM10742,Apparel,91.38,6.527,0.3,9.0,1.5,16.17,74.91,24.47,376,17360.99,21929.51,20.83,Hold
ITM10743,Automotive,518.32,37.023,0.156,3.0,1.5,91.35,202.42,109.28,44,29458.91,40322.8,26.94,Reorder Now
ITM10744,Groceries,58.12,4.151,0.25,9.0,1.5,10.32,47.68,22.36,131,10658.15,12989.67,17.95,Hold
ITM10745,Groceries,583.27,41.662,0.057,8.0,1.5,102.8,436.1,129.09,430,28763.52,38873.37,26.01,Reorder Now
ITM10746,Groceries,321.02,22.93,0.465,4.0,1.5,56.6,148.32,59.86,454,31389.39,53221.5,41.02,Hold
ITM10747,Groceries,87.15,6.225,0.062,3.0,1.5,15.36,34.04,21.39,225,19381.24,29484.04,34.27,Hold
ITM10748,Electronics,506.2,36.157,0.048,7.0,1.5,89.22,342.32,42.73,204,101960.56,210906.15,51.66,Reorder Now
ITM10751,Pharma,52.59,3.756,0.044,8.0,1.5,9.27,39.32,19.88,66,10795.02,10559.1,-2.23,Hold
ITM10752,Electronics,290.47,20.748,0.005,8.0,1.5,51.19,217.18,67.9,393,23347.96,36044.71,35.23,Hold
ITM10753,Groceries,91.68,6.549,0.384,2.0,1.5,16.18,29.28,22.8,247,19122.45,26185.86,26.97,Hold
ITM10754,Groceries,95.47,6.819,0.078,6.0,1.5,16.83,57.75,21.47,58,21931.51,32678.45,32.89,Hold
ITM10755,Groceries,215.42,15.387,0.188,3.0,1.5,37.97,84.13,63.63,35,16901.03,22138.86,23.66,Reorder Now
ITM10757,Apparel,385.47,27.534,0.564,7.0,1.5,67.98,260.72,43.88,232,63412.24,121209.95,47.68,Reorder Now
ITM10758,Automotive,109.88,7.849,0.26,8.0,1.5,19.4,82.2,40.87,329,11771.69,12396.02,5.04,Hold
ITM10759,Apparel,676.36,48.312,0.037,7.0,1.5,119.21,457.39,60.27,168,95944.98,193940.53,50.53,Reorder Now
ITM10761,Groceries,214.13,15.295,0.061,8.0,1.5,37.74,160.1,33.17,260,38768.58,64585.05,39.97,Hold
ITM10762,Automotive,116.33,8.309,0.489,4.0,1.5,20.57,53.8,28.27,291,20053.5,28477.17,29.58,Hold
ITM10763,Automotive,676.63,48.331,0.018,8.0,1.5,119.26,505.91,159.49,78,28151.58,33832.02,16.79,Reorder Now
ITM10764,Apparel,332.18,23.727,0.105,8.0,1.5,58.55,248.36,38.51,306,61011.57,118906.52,48.69,Hold
ITM10765,Pharma,249.78,17.841,0.184,6.0,1.5,44.03,151.08,39.22,445,38503.04,64009.45,39.85,Hold
ITM10766,Apparel,330.48,23.606,0.338,9.0,1.5,58.27,270.72,39.94,221,57359.92,116870.6,50.92,Reorder Now
ITM10767,Automotive,547.55,39.111,0.089,9.0,1.5,96.51,448.5,107.25,51,32424.19,47025.41,31.05,Reorder Now
ITM10768,Automotive,129.23,9.231,0.273,8.0,1.5,22.81,96.66,25.06,462,27369.37,48235.35,43.26,Hold
ITM10769,Electronics,546.91,39.065,0.139,5.0,1.5,96.39,291.72,66.25,181,59965.01,109194.31,45.08,Reorder Now
ITM10770,Automotive,547.69,39.121,0.04,9.0,1.5,96.53,448.61,49.14,274,93274.88,184659.41,49.49,Reorder Now
ITM10771,Electronics,381.04,27.217,0.061,9.0,1.5,67.16,312.11,46.85,273,56567.52,108191.11,47.72,Reorder Now
ITM10774,Apparel,408.86,29.204,0.385,7.0,1.5,72.08,276.51,42.07,158,74077.0,152989.83,51.58,Reorder Now
ITM10776,Apparel,290.48,20.748,0.005,7.0,1.5,51.2,196.44,32.37,29,64181.24,133647.36,51.98,Reorder Now
ITM10777,Automotive,172.01,12.287,0.298,6.0,1.5,30.34,104.06,38.95,233,22727.39,39749.34,42.82,Hold
ITM10779,Electronics,105.09,7.507,0.456,8.0,1.5,18.64,78.7,24.22,343,21394.22,31577.0,32.25,Hold
ITM10781,Electronics,214.9,15.35,0.015,2.0,1.5,37.88,68.58,31.99,455,41053.37,71842.21,42.86,Hold
ITM10782,Electronics,502.09,35.864,0.142,8.0,1.5,88.5,375.4,99.81,130,31288.56,46595.66,32.85,Reorder Now
ITM10783,Groceries,51.35,3.668,0.087,3.0,1.5,9.05,20.06,17.94,172,11899.72,17041.56,30.17,Hold
ITM10784,Automotive,467.41,33.387,0.112,2.0,1.5,82.38,149.16,55.86,142,60083.23,111630.74,46.18,Reorder Now
ITM10785,Electronics,165.74,11.839,0.007,4.0,1.5,29.21,76.57,39.73,424,21033.4,33588.98,37.38,Hold
ITM10786,Apparel,73.36,5.24,0.106,6.0,1.5,12.94,44.38,23.74,376,13405.24,19835.15,32.42,Hold
ITM10787,Pharma,215.47,15.391,0.071,6.0,1.5,37.98,130.32,37.58,121,32867.95,58961.94,44.26,Reorder Now
ITM10788,Electronics,172.29,12.307,0.317,4.0,1.5,30.38,79.61,41.63,260,20909.42,32435.79,35.54,Hold
ITM10789,Electronics,393.4,28.1,0.292,7.0,1.5,69.35,266.05,65.25,340,37552.96,63006.53,40.4,Hold
ITM10791,Automotive,676.59,48.328,0.01,9.0,1.5,119.25,554.2,144.96,236,30999.98,40570.87,23.59,Reorder Now
ITM10792,Pharma,675.51,48.25,0.144,9.0,1.5,119.06,553.31,83.62,70,59851.46,106043.94,43.56,Reorder Now
ITM10793,Apparel,329.62,23.544,0.16,8.0,1.5,58.1,246.45,41.92,311,53214.65,98006.53,45.7,Hold
ITM10794,Pharma,548.44,39.174,0.04,3.0,1.5,96.66,214.18,88.51,100,40943.98,67364.27,39.22,Reorder Now
ITM10795,Apparel,48.61,3.472,0.006,9.0,1.5,8.57,39.82,17.08,402,11774.29,10651.24,-10.54,Hold
ITM10796,Automotive,373.41,26.672,0.311,5.0,1.5,65.82,199.18,63.09,107,36394.34,63423.48,42.62,Reorder Now
ITM10797,Apparel,505.7,36.122,0.03,8.0,1.5,89.13,378.1,46.1,213,90499.86,191645.79,52.78,Reorder Now
ITM10798,Groceries,165.79,11.842,0.018,8.0,1.5,29.22,123.96,39.47,123,21217.22,33434.79,36.54,Reorder Now
ITM10799,Groceries,65.59,4.685,0.145,8.0,1.5,11.58,49.06,29.45,290,8942.74,11725.91,23.74,Hold
ITM10800,Groceries,117.44,8.388,0.272,2.0,1.5,20.71,37.48,27.49,115,21058.21,35811.77,41.2,Hold
ITM10801,Groceries,323.55,23.111,0.401,2.0,1.5,57.03,103.25,80.12,442,22239.92,31256.35,28.85,Hold
ITM10803,Automotive,284.43,20.316,0.136,8.0,1.5,50.13,212.67,38.23,217,48540.01,88926.11,45.42,Hold
ITM10804,Apparel,331.35,23.668,0.145,7.0,1.5,58.4,224.08,38.95,20,59753.33,111574.93,46.45,Reorder Now
ITM10805,Apparel,319.86,22.847,0.42,9.0,1.5,56.41,262.04,51.54,426,38057.3,69425.05,45.18,Hold
ITM10806,Groceries,548.13,39.152,0.004,6.0,1.5,96.61,331.52,48.13,397,96427.53,196623.21,50.96,Hold
ITM10807,Groceries,86.4,6.172,0.015,3.0,1.5,15.23,33.74,24.36,186,16154.09,25607.19,36.92,Hold
ITM10808,Electronics,548.32,39.166,0.056,4.0,1.5,96.64,253.31,118.27,145,29111.82,39683.93,26.64,Reorder Now
ITM10809,Automotive,505.79,36.128,0.083,2.0,1.5,89.15,161.4,82.56,332,39810.13,62705.32,36.51,Hold
ITM10810,Pharma,506.07,36.148,0.029,8.0,1.5,89.2,378.38,49.93,100,80229.03,165192.99,51.43,Reorder Now
ITM10811,Apparel,508.18,36.299,0.282,3.0,1.5,89.57,198.47,44.91,437,94976.21,199900.43,52.49,Hold
ITM10812,Electronics,331.76,23.697,0.105,6.0,1.5,58.47,200.66,92.0,270,19702.95,26686.78,26.17,Hold
ITM10814,Apparel,393.35,28.096,0.217,2.0,1.5,69.33,125.52,41.65,496,70747.35,137225.39,48.44,Hold
ITM10816,Electronics,423.54,30.253,0.091,7.0,1.5,74.65,286.42,46.32,160,67779.25,131176.1,48.33,Reorder Now
ITM10818,Automotive,52.83,3.773,0.105,5.0,1.5,9.32,28.18,15.12,281,15408.15,26008.22,40.76,Hold
ITM10819,Pharma,676.47,48.319,0.036,9.0,1.5,119.23,554.1,59.83,359,97047.16,201138.34,51.75,Reorder Now
ITM10820,Electronics,84.98,6.07,0.27,4.0,1.5,15.0,39.28,25.55,327,14873.03,18346.78,18.93,Hold
ITM10821,Pharma,79.9,5.707,0.235,6.0,1.5,14.11,48.36,18.11,264,21507.91,25037.57,14.1,Hold
ITM10822,Apparel,250.84,17.917,0.085,9.0,1.5,44.21,205.47,70.55,22,18349.3,26217.29,30.01,Reorder Now
ITM10823,Groceries,672.89,48.063,0.325,9.0,1.5,118.61,551.18,53.02,356,115890.54,245139.57,52.72,Reorder Now
ITM10825,Automotive,288.03,20.574,0.14,3.0,1.5,50.77,112.49,36.67,68,52584.24,103134.17,49.01,Reorder Now
ITM10826,Apparel,463.17,33.083,0.124,6.0,1.5,81.63,280.13,52.73,95,64397.43,120056.64,46.36,Reorder Now
ITM10827,Pharma,53.65,3.832,0.234,7.0,1.5,9.51,36.34,16.43,387,14143.82,15666.02,9.72,Hold
ITM10828,Apparel,631.24,45.089,0.179,3.0,1.5,111.26,246.52,71.58,194,66956.42,124122.19,46.06,Reorder Now
ITM10830,Pharma,331.86,23.705,0.047,9.0,1.5,58.49,271.83,58.61,202,33818.85,56894.78,40.56,Reorder Now
ITM10831,Groceries,583.54,41.681,0.26,8.0,1.5,102.86,436.31,81.99,211,49438.09,87287.65,43.36,Reorder Now
ITM10832,Apparel,667.82,47.701,0.421,6.0,1.5,117.71,403.92,84.38,84,58127.17,102290.3,43.17,Reorder Now
ITM10833,Electronics,286.77,20.484,0.165,2.0,1.5,50.55,91.51,36.12,356,53402.15,108576.29,50.82,Hold
ITM10834,Automotive,127.76,9.126,0.015,5.0,1.5,22.52,68.15,29.62,470,21458.29,36553.22,41.3,Hold
ITM10835,Pharma,584.29,41.735,0.066,5.0,1.5,102.98,311.66,61.04,493,74670.35,141964.96,47.4,Hold
ITM10836,Apparel,285.7,20.407,0.146,2.0,1.5,50.36,91.17,34.85,290,55974.58,110666.34,49.42,Hold
ITM10837,Apparel,629.16,44.94,0.304,4.0,1.5,110.89,290.65,51.72,119,107916.6,233435.04,53.77,Reorder Now
ITM10838,Groceries,675.27,48.233,0.144,9.0,1.5,119.02,553.12,108.46,51,42845.08,65927.47,35.01,Reorder Now
ITM10839,Groceries,114.3,8.164,0.28,8.0,1.5,20.19,85.5,26.76,371,21025.07,30243.21,30.48,Hold
ITM10840,Automotive,674.57,48.184,0.042,7.0,1.5,118.89,456.18,119.04,147,38321.66,56310.74,31.95,Reorder Now
ITM10841,Automotive,251.9,17.993,0.03,5.0,1.5,44.4,134.36,32.06,471,52123.76,106252.04,50.94,Hold
ITM10842,Electronics,462.54,33.038,0.179,3.0,1.5,81.52,180.64,44.21,421,83591.01,168189.22,50.3,Hold
ITM10843,Electronics,50.13,3.581,0.017,9.0,1.5,8.84,41.07,14.47,388,15201.15,20130.25,24.49,Hold
ITM10844,Automotive,626.09,44.721,0.259,7.0,1.5,110.35,423.4,55.73,358,95454.17,193183.56,50.59,Reorder Now
ITM10845,Automotive,465.58,33.256,0.089,5.0,1.5,82.06,248.34,57.96,62,56664.32,102740.51,44.85,Reorder Now
ITM10846,Pharma,465.14,33.224,0.123,8.0,1.5,81.98,347.78,61.8,391,51720.92,91727.71,43.61,Hold
ITM10847,Groceries,639.02,45.644,0.383,4.0,1.5,112.63,295.21,73.28,438,66009.56,120811.86,45.36,Hold
ITM10848,Electronics,378.63,27.045,0.25,8.0,1.5,66.74,283.1,108.44,97,19642.05,24136.75,18.62,Reorder Now
ITM10850,Groceries,582.44,41.603,0.195,8.0,1.5,102.66,435.49,65.83,308,66631.6,130121.25,48.79,Reorder Now
ITM10851,Automotive,506.5,36.179,0.255,7.0,1.5,89.28,342.53,43.99,289,97561.0,209113.29,53.35,Reorder Now
ITM10852,Pharma,665.47,47.534,0.246,9.0,1.5,117.3,545.1,51.82,181,117933.03,248279.78,52.5,Reorder Now
ITM10853,Apparel,674.76,48.197,0.123,3.0,1.5,118.93,263.52,53.72,208,114034.32,233201.99,51.1,Reorder Now
ITM10854,Pharma,287.68,20.549,0.234,9.0,1.5,50.72,235.66,41.04,266,44609.78,79409.24,43.82,Hold
ITM10855,Pharma,328.82,23.487,0.301,2.0,1.5,57.96,104.93,90.0,407,19947.47,26374.37,24.37,Hold
ITM10856,Groceries,213.11,15.222,0.207,6.0,1.5,37.57,128.9,45.98,235,24734.93,36304.78,31.87,Hold
ITM10857,Pharma,459.69,32.835,0.193,2.0,1.5,81.02,146.69,51.25,334,66342.87,130149.46,49.03,Hold
ITM10858,Electronics,250.56,17.897,0.065,7.0,1.5,44.16,169.44,117.33,432,10929.17,11986.79,8.82,Hold
ITM10860,Electronics,92.91,6.636,0.409,2.0,1.5,16.4,29.68,21.85,409,20619.14,36079.43,42.85,Hold
ITM10861,Apparel,86.72,6.194,0.026,6.0,1.5,15.29,52.45,18.6,396,23270.95,43392.98,46.37,Hold
ITM10862,Groceries,161.63,11.545,0.359,5.0,1.5,28.52,86.24,25.91,452,36275.76,64338.18,43.62,Hold
ITM10865,Automotive,131.53,9.395,0.056,6.0,1.5,23.18,79.55,25.72,212,27062.22,42399.09,36.17,Hold
ITM10866,Pharma,134.87,9.633,0.235,5.0,1.5,23.79,71.95,25.69,472,28122.29,46166.74,39.09,Hold
ITM10867,Automotive,56.25,4.018,0.058,8.0,1.5,9.92,42.06,24.31,302,9227.52,8747.51,-5.49,Hold
ITM10868,Apparel,547.94,39.139,0.018,8.0,1.5,96.57,409.68,51.78,355,86198.75,174330.78,50.55,Reorder Now
ITM10869,Pharma,583.4,41.671,0.034,4.0,1.5,102.82,269.51,53.61,409,90397.12,179228.2,49.56,Hold
ITM10870,Groceries,143.16,10.226,0.26,9.0,1.5,25.27,117.3,28.83,32,26154.15,40595.06,35.57,Reorder Now
ITM10871,Pharma,508.9,36.35,0.326,2.0,1.5,89.7,162.4,68.27,259,51605.73,93887.66,45.03,Hold
ITM10872,Electronics,319.35,22.811,0.228,4.0,1.5,56.29,147.53,37.29,339,60183.15,115234.09,47.77,Hold
ITM10873,Pharma,168.28,12.02,0.245,9.0,1.5,29.68,137.86,25.29,465,39913.03,79062.52,49.52,Hold
ITM10874,Electronics,424.02,30.287,0.05,9.0,1.5,74.73,347.32,41.6,166,79836.43,167699.34,52.39,Reorder Now
ITM10875,Pharma,127.46,9.105,0.002,7.0,1.5,22.47,86.2,40.32,223,14495.16,22479.2,35.52,Hold
ITM10876,Electronics,546.39,39.028,0.276,5.0,1.5,96.31,291.44,64.1,99,62741.69,114410.94,45.16,Reorder Now
ITM10877,Apparel,52.53,3.752,0.065,4.0,1.5,9.26,24.27,22.37,398,9342.34,12661.0,26.21,Hold
ITM10878,Automotive,675.38,48.241,0.201,4.0,1.5,119.04,312.0,57.88,62,101791.99,206947.48,50.81,Reorder Now
ITM10879,Groceries,95.07,6.79,0.422,9.0,1.5,16.88,78.0,20.1,477,23921.0,31758.66,24.68,Hold
ITM10880,Pharma,423.63,30.259,0.057,8.0,1.5,74.67,316.74,77.03,108,33759.97,52428.0,35.61,Reorder Now
ITM10881,Automotive,631.78,45.127,0.061,5.0,1.5,111.35,336.99,48.74,167,119255.83,253301.05,52.92,Reorder Now
ITM10882,Groceries,56.52,4.037,0.071,8.0,1.5,9.97,42.26,17.04,114,14439.43,12788.62,-12.91,Hold
ITM10883,Groceries,378.42,27.03,0.26,3.0,1.5,66.7,147.79,72.1,471,31277.07,47059.77,33.54,Hold
ITM10884,Electronics,251.27,17.948,0.035,6.0,1.5,44.29,151.97,47.07,447,30285.7,51557.82,41.26,Hold
ITM10885,Apparel,406.82,29.058,0.504,7.0,1.5,71.73,275.14,98.42,170,23934.88,33415.8,28.37,Reorder Now
ITM10886,Apparel,147.87,10.562,0.549,7.0,1.5,26.17,100.11,29.3,21,26833.64,52055.39,48.45,Reorder Now
ITM10888,Apparel,464.26,33.161,0.075,8.0,1.5,81.83,347.11,48.32,41,73508.95,139379.3,47.26,Reorder Now
ITM10889,Pharma,288.21,20.586,0.12,6.0,1.5,50.8,174.32,37.05,390,51852.21,102827.84,49.57,Hold
ITM10890,Apparel,424.85,30.346,0.1,9.0,1.5,74.88,348.0,54.81,332,53350.48,101875.39,47.63,Reorder Now
ITM10891,Automotive,165.71,11.836,0.002,2.0,1.5,29.21,52.88,65.02,347,11789.7,14596.63,19.23,Hold
ITM10893,Pharma,394.4,28.171,0.125,6.0,1.5,69.51,238.54,58.97,225,43129.05,76567.18,43.67,Reorder Now
ITM10894,Electronics,424.42,30.316,0.151,4.0,1.5,74.81,196.07,39.94,459,85111.98,173511.01,50.95,Hold
ITM10895,Automotive,252.4,18.029,0.074,3.0,1.5,44.49,98.57,40.86,394,36932.54,69729.22,47.03,Hold
ITM10896,Electronics,213.65,15.261,0.168,9.0,1.5,37.66,175.01,79.74,470,13069.83,15902.83,17.81,Hold
ITM10897,Electronics,219.01,15.644,0.328,4.0,1.5,38.62,101.19,34.56,133,37842.8,64090.42,40.95,Hold
ITM10898,Electronics,127.29,9.092,0.018,3.0,1.5,22.43,49.71,23.99,291,28431.35,52778.58,46.13,Hold
ITM10900,Groceries,164.54,11.753,0.196,8.0,1.5,29.01,123.04,35.17,198,24402.09,37846.58,35.52,Hold
ITM10901,Electronics,457.69,32.692,0.369,5.0,1.5,80.68,244.14,46.53,229,76077.54,149086.03,48.97,Reorder Now
ITM10902,Automotive,418.33,29.881,0.205,2.0,1.5,73.73,133.49,146.09,483,16686.34,17670.11,5.57,Hold
ITM10903,Pharma,288.18,20.584,0.231,2.0,1.5,50.79,91.96,113.42,347,13346.94,14562.33,8.35,Hold
ITM10904,Pharma,250.88,17.92,0.162,5.0,1.5,44.22,133.82,35.91,143,43923.08,77998.35,43.69,Hold
ITM10905,Apparel,168.24,12.017,0.143,6.0,1.5,29.66,101.76,28.5,132,33608.11,63608.42,47.16,Hold
ITM10906,Automotive,379.8,27.129,0.287,5.0,1.5,66.95,202.59,39.83,31,71597.28,143925.13,50.25,Reorder Now
ITM10908,Electronics,466.07,33.291,0.021,7.0,1.5,82.15,315.18,62.95,72,50562.97,93936.24,46.17,Reorder Now
ITM10909,Apparel,539.28,38.52,0.334,5.0,1.5,95.06,287.66,57.88,350,71223.38,134089.19,46.88,Hold
ITM10910,Pharma,583.75,41.696,0.024,3.0,1.5,102.89,227.97,52.03,408,94689.76,194098.22,51.22,Hold
ITM10911,Groceries,251.85,17.99,0.029,7.0,1.5,44.39,170.32,36.92,302,42456.35,79387.58,46.52,Hold
ITM10912,Groceries,65.37,4.669,0.13,5.0,1.5,11.53,34.88,25.47,159,10575.07,14217.24,25.62,Hold
ITM10913,Electronics,419.86,29.99,0.176,2.0,1.5,74.0,133.98,62.82,420,43426.79,79048.3,45.06,Hold
ITM10914,Pharma,127.66,9.119,0.138,4.0,1.5,22.51,58.98,24.26,409,28118.97,55094.66,48.96,Hold
ITM10915,Automotive,423.76,30.269,0.112,3.0,1.5,74.69,165.5,51.99,116,57308.91,103402.06,44.58,Reorder Now
ITM10916,Groceries,505.42,36.102,0.033,8.0,1.5,89.08,377.89,111.57,24,27827.9,39588.17,29.71,Reorder Now
ITM10917,Electronics,548.3,39.164,0.214,3.0,1.5,96.64,214.13,100.21,76,35168.96,53568.41,34.35,Reorder Now
ITM10918,Automotive,212.67,15.191,0.226,9.0,1.5,37.5,174.22,29.72,431,44972.47,88419.01,49.14,Hold
ITM10919,Pharma,380.13,27.152,0.074,6.0,1.5,67.0,229.91,36.85,353,80761.61,159798.43,49.46,Hold
ITM10920,Groceries,424.16,30.297,0.065,4.0,1.5,74.76,195.95,63.99,88,43003.92,77027.68,44.17,Reorder Now
ITM10921,Automotive,582.56,41.611,0.147,3.0,1.5,102.68,227.51,70.81,137,60150.59,108596.3,44.61,Reorder Now
ITM10922,Automotive,546.88,39.063,0.031,9.0,1.5,96.39,447.95,100.08,395,35095.99,52282.75,32.87,Reorder Now
ITM10925,Groceries,324.46,23.176,0.436,3.0,1.5,57.2,126.73,60.18,337,31648.64,50526.4,37.36,Hold
ITM10926,Apparel,212.93,15.209,0.211,3.0,1.5,37.53,83.16,32.61,69,39388.84,65575.75,39.93,Reorder Now
ITM10927,Pharma,86.69,6.192,0.011,6.0,1.5,15.28,52.43,23.51,387,16988.2,29784.0,42.96,Hold
ITM10928,Electronics,631.89,45.135,0.116,3.0,1.5,111.37,246.78,52.14,38,107310.51,225435.24,52.4,Reorder Now
ITM10930,Apparel,127.38,9.098,0.002,6.0,1.5,22.45,77.04,51.73,216,10866.3,15236.37,28.68,Hold
ITM10931,Electronics,51.98,3.713,0.045,9.0,1.5,9.16,42.58,33.54,398,5821.41,7308.26,20.34,Hold
ITM10932,Apparel,214.24,15.303,0.08,7.0,1.5,37.76,144.88,29.16,469,46758.98,85227.94,45.14,Hold
ITM10933,Groceries,581.69,41.549,0.211,4.0,1.5,102.53,268.72,50.03,497,100015.91,208197.66,51.96,Hold
ITM10934,Automotive,218.71,15.622,0.308,9.0,1.5,38.58,179.18,39.72,66,31145.84,53215.56,41.47,Reorder Now
ITM10935,Electronics,64.9,4.636,0.228,8.0,1.5,11.49,48.57,36.39,186,6962.62,8463.98,17.74,Hold
ITM10937,Electronics,291.79,20.842,0.276,2.0,1.5,51.43,93.11,62.13,308,26185.71,42834.2,38.87,Hold
ITM10938,Electronics,632.1,45.15,0.066,6.0,1.5,111.41,382.31,162.97,160,25264.96,30547.06,17.29,Reorder Now
ITM10939,Electronics,214.25,15.304,0.047,6.0,1.5,37.76,129.59,28.68,103,47903.87,90621.78,47.14,Reorder Now
ITM10940,Apparel,290.72,20.766,0.035,3.0,1.5,51.24,113.54,35.58,201,55762.17,113780.64,50.99,Hold
ITM10941,Automotive,86.59,6.185,0.006,3.0,1.5,15.26,33.82,20.87,410,19855.36,32377.47,38.68,Hold
ITM10942,Groceries,334.51,23.894,0.244,8.0,1.5,58.97,250.12,122.2,98,14941.01,17625.69,15.23,Reorder Now
ITM10943,Groceries,505.61,36.115,0.065,2.0,1.5,89.11,161.34,57.3,234,65375.41,121422.78,46.16,Hold
ITM10944,Groceries,214.83,15.345,0.018,3.0,1.5,37.86,83.9,33.84,33,37870.96,64896.86,41.64,Reorder Now
ITM10945,Groceries,214.49,15.321,0.016,5.0,1.5,37.8,114.41,31.54,234,41775.65,79001.84,47.12,Hold
ITM10947,Pharma,51.32,3.666,0.037,3.0,1.5,9.05,20.04,13.85,147,16632.68,14178.59,-17.31,Hold
ITM10948,Automotive,465.7,33.264,0.085,5.0,1.5,82.08,248.4,76.39,329,39041.0,62514.9,37.55,Hold
ITM10950,Pharma,215.08,15.363,0.037,5.0,1.5,37.91,114.72,45.87,267,25127.72,41458.96,39.39,Hold
ITM10951,Groceries,465.62,33.258,0.048,6.0,1.5,82.07,281.62,49.45,423,71354.83,139966.71,49.02,Hold
ITM10952,Pharma,583.67,41.691,0.027,5.0,1.5,102.87,311.33,52.72,48,92794.96,189518.53,51.04,Reorder Now
ITM10953,Automotive,384.92,27.495,0.441,4.0,1.5,67.86,177.84,42.81,299,65610.33,132496.21,50.48,Hold
ITM10954,Electronics,49.67,3.548,0.035,6.0,1.5,8.76,30.04,33.83,357,5465.89,5723.31,4.5,Hold
ITM10955,Electronics,322.78,23.056,0.521,3.0,1.5,56.91,126.08,35.99,338,64563.96,131038.51,50.73,Hold
ITM10956,Automotive,334.66,23.904,0.397,8.0,1.5,59.01,250.24,61.6,221,32096.76,52220.54,38.54,Reorder Now
ITM10957,Automotive,381.08,27.22,0.093,6.0,1.5,67.17,230.49,73.78,380,30691.12,48894.51,37.23,Hold
ITM10958,Groceries,462.84,33.06,0.108,2.0,1.5,81.58,147.69,51.02,76,67498.21,133878.19,49.58,Reorder Now
ITM10959,Electronics,51.15,3.653,0.034,2.0,1.5,9.02,16.32,27.03,411,7245.19,6335.92,-14.35,Hold
ITM10960,Pharma,378.47,27.034,0.23,5.0,1.5,66.71,201.88,50.26,237,50618.38,89089.9,43.18,Hold
ITM10961,Apparel,418.6,29.9,0.17,6.0,1.5,73.78,253.18,58.62,81,47501.78,84904.07,44.05,Reorder Now
ITM10963,Automotive,464.9,33.207,0.467,2.0,1.5,81.95,148.36,71.48,221,42459.62,73146.42,41.95,Hold
ITM10964,Groceries,165.92,11.851,0.024,7.0,1.5,29.24,112.2,36.09,36,23862.72,40470.99,41.04,Reorder Now
ITM10965,Apparel,247.57,17.684,0.321,3.0,1.5,43.64,96.7,48.24,341,28715.2,45081.8,36.3,Hold
ITM10966,Electronics,676.15,48.296,0.144,7.0,1.5,119.17,457.25,76.74,25,67452.22,123884.42,45.55,Reorder Now
ITM10967,Automotive,251.31,17.951,0.039,4.0,1.5,44.29,116.1,34.59,77,46466.76,88213.37,47.32,Reorder Now
ITM10968,Pharma,252.2,18.014,0.012,7.0,1.5,44.45,170.55,65.49,344,20141.45,29324.76,31.32,Hold
ITM10971,Automotive,677.16,48.369,0.022,5.0,1.5,119.35,361.19,54.64,188,111708.43,236096.09,52.69,Reorder Now
ITM10972,Automotive,410.39,29.313,0.235,4.0,1.5,72.34,189.59,41.4,472,76339.64,154330.47,50.53,Hold
ITM10974,Pharma,632.41,45.172,0.046,3.0,1.5,111.46,246.98,112.02,493,37609.15,56223.0,33.11,Hold
ITM10975,Pharma,417.21,29.801,0.384,2.0,1.5,73.54,133.14,48.44,487,61982.17,116034.53,46.58,Hold
ITM10977,Apparel,583.92,41.708,0.015,4.0,1.5,102.92,269.75,82.02,452,49462.61,84489.83,41.46,Hold
ITM10978,Groceries,282.6,20.186,0.264,9.0,1.5,49.83,231.5,42.84,238,40888.06,75251.74,45.66,Hold
ITM10979,Groceries,81.44,5.817,0.346,2.0,1.5,14.38,26.01,19.25,196,20330.35,19160.8,-6.1,Hold
ITM10980,Groceries,578.92,41.351,0.208,6.0,1.5,102.04,350.15,51.49,223,94962.5,193607.86,50.95,Reorder Now
ITM10981,Pharma,390.44,27.889,0.443,6.0,1.5,68.84,236.17,45.62,90,61071.92,117266.77,47.92,Reorder Now
ITM10982,Pharma,247.9,17.707,0.312,5.0,1.5,43.71,132.24,84.16,406,14899.53,18873.98,21.06,Hold
ITM10984,Groceries,423.76,30.268,0.029,7.0,1.5,74.69,286.57,60.03,117,46827.81,82954.16,43.55,Reorder Now
ITM10985,Groceries,159.09,11.363,0.225,6.0,1.5,28.05,96.23,87.04,364,8375.08,9059.04,7.55,Hold
ITM10986,Automotive,244.34,17.453,0.304,9.0,1.5,43.09,200.16,30.97,310,52381.26,98681.2,46.92,Hold
